gameID	shooterID	assisterID	minute	situation	lastAction	shotType	shotResult	xGoal	positionX	positionY	modifiedDate
84	755	750	26	OpenPlay	Pass	RightFoot	SavedShot	0.298107415	0.853000031	0.587999992	
84	757	750	28	OpenPlay	Cross	Head	MissedShots	0.030204477	0.914000015	0.617999992	
84	750	755	39	OpenPlay	Pass	LeftFoot	MissedShots	0.124237768	0.856999969	0.507000008	
84	752	754	46	OpenPlay	Pass	RightFoot	SavedShot	0.017983265	0.729000015	0.525999985	
84	755	753	50	OpenPlay	TakeOn	RightFoot	MissedShots	0.34553811	0.963000031	0.643000031	
84	750	754	55	OpenPlay	Pass	LeftFoot	ShotOnPost	0.066266499	0.895	0.282000008	
84	750	752	56	OpenPlay	Throughball	RightFoot	SavedShot	0.134117007	0.926999969	0.322000008	
84	748	753	57	FromCorner	Aerial	Head	BlockedShot	0.016160009	0.921999969	0.59	
84	755	750	58	FromCorner	Cross	LeftFoot	SavedShot	0.052070536	0.898000031	0.417999992	
84	755	752	61	OpenPlay	Chipped	LeftFoot	MissedShots	0.061791886	0.779000015	0.4	
84	753	NA	65	OpenPlay	None	RightFoot	Goal	0.079319559	0.848000031	0.55	
84	753	750	72	OpenPlay	Pass	RightFoot	MissedShots	0.076361611	0.813000031	0.467000008	
84	784	753	77	OpenPlay	Pass	RightFoot	MissedShots	0.048661295	0.875999985	0.277000008	
84	754	751	86	OpenPlay	Pass	LeftFoot	BlockedShot	0.121762268	0.868000031	0.455999985	
84	735	NA	5	OpenPlay	BallTouch	RightFoot	BlockedShot	0.121574096	0.949000015	0.432999992	
84	736	929	5	FromCorner	Aerial	Head	SavedShot	0.027277105	0.926999969	0.570999985	
84	733	NA	5	FromCorner	Rebound	Head	SavedShot	0.050374873	0.926999969	0.489000015	
84	929	740	21	OpenPlay	Pass	LeftFoot	MissedShots	0.012196696	0.708000031	0.372999992	
84	930	735	32	OpenPlay	Pass	LeftFoot	MissedShots	0.010447415	0.845999985	0.136999998	
84	930	929	52	FromCorner	Cross	Head	MissedShots	0.102653384	0.954000015	0.570999985	
84	735	929	59	OpenPlay	Throughball	RightFoot	Goal	0.323818594	0.87	0.542000008	
84	735	929	62	OpenPlay	Pass	RightFoot	SavedShot	0.075410277	0.863000031	0.617999992	
84	781	929	68	OpenPlay	Cross	LeftFoot	MissedShots	0.023414515	0.815999985	0.485	
84	930	781	70	OpenPlay	Aerial	Head	Goal	0.702412665	0.954000015	0.517999992	
84	740	733	80	OpenPlay	Pass	RightFoot	BlockedShot	0.0112551	0.706999969	0.48	
85	801	792	1	OpenPlay	Pass	RightFoot	MissedShots	0.011888027	0.716999969	0.317999992	
85	791	NA	7	OpenPlay	None	RightFoot	MissedShots	0.012083648	0.709000015	0.479000015	
85	467	NA	9	OpenPlay	None	RightFoot	MissedShots	0.620231807	0.953000031	0.52	
85	789	NA	22	DirectFreekick	Standard	LeftFoot	BlockedShot	0.044739276	0.748000031	0.315	
85	1011	792	32	OpenPlay	Pass	LeftFoot	MissedShots	0.012537477	0.723000031	0.683000031	
85	791	467	42	OpenPlay	Pass	LeftFoot	MissedShots	0.047411252	0.806999969	0.452000008	
85	789	NA	44	OpenPlay	Aerial	LeftFoot	SavedShot	0.0131445	0.798000031	0.602000008	
85	1011	789	46	FromCorner	Cross	Head	MissedShots	0.046884798	0.903000031	0.434000015	
85	467	793	50	OpenPlay	Pass	RightFoot	SavedShot	0.079966575	0.973000031	0.362999992	
85	1011	467	50	OpenPlay	BallTouch	Head	SavedShot	0.061810572	0.913000031	0.494000015	
85	926	793	54	OpenPlay	Pass	LeftFoot	SavedShot	0.01583661	0.775	0.272000008	
85	792	NA	61	OpenPlay	None	RightFoot	MissedShots	0.023918048	0.785	0.479000015	
85	1011	801	66	OpenPlay	Interception	LeftFoot	BlockedShot	0.017104425	0.740999985	0.485	
85	790	793	68	OpenPlay	Pass	RightFoot	Goal	0.011716064	0.710999985	0.442999992	
85	926	789	75	OpenPlay	Cross	RightFoot	BlockedShot	0.03284594	0.945	0.312999992	
85	789	794	86	OpenPlay	Pass	LeftFoot	MissedShots	0.027926384	0.781999969	0.592999992	
85	794	790	90	SetPiece	Cross	Head	MissedShots	0.050709788	0.885	0.455	
85	632	882	12	OpenPlay	Pass	RightFoot	BlockedShot	0.023883136	0.853000031	0.736999969	
85	514	NA	29	OpenPlay	None	RightFoot	BlockedShot	0.059064891	0.845999985	0.402000008	
85	882	510	30	OpenPlay	HeadPass	LeftFoot	SavedShot	0.631695569	0.965	0.477000008	
85	510	882	30	OpenPlay	Pass	Head	MissedShots	0.012009016	0.959000015	0.308999996	
85	522	514	38	OpenPlay	Cross	RightFoot	Goal	0.392137527	0.955	0.577000008	
85	632	516	41	OpenPlay	Throughball	RightFoot	SavedShot	0.1321266	0.864000015	0.399000015	
85	511	513	48	FromCorner	HeadPass	RightFoot	Goal	0.321474493	0.975999985	0.594000015	
85	516	633	84	OpenPlay	Pass	RightFoot	SavedShot	0.022820352	0.758000031	0.325	
85	519	514	86	OpenPlay	Pass	RightFoot	MissedShots	0.058491945	0.798000031	0.544000015	
85	518	633	87	OpenPlay	LayOff	RightFoot	SavedShot	0.062618315	0.784000015	0.515	
85	516	633	93	OpenPlay	Throughball	RightFoot	Goal	0.393427968	0.888000031	0.432999992	
86	682	700	10	OpenPlay	Pass	RightFoot	MissedShots	0.015495326	0.760999985	0.225	
86	697	701	17	OpenPlay	Pass	LeftFoot	BlockedShot	0.014681585	0.726999969	0.345999985	
86	692	NA	22	DirectFreekick	Standard	RightFoot	Goal	0.040701594	0.838000031	0.845	
86	802	NA	32	OpenPlay	Dispossessed	RightFoot	SavedShot	0.050366417	0.98	0.243999996	
86	686	700	36	OpenPlay	Pass	RightFoot	MissedShots	0.052944027	0.85	0.332000008	
86	692	NA	36	OpenPlay	Rebound	RightFoot	MissedShots	0.136503175	0.913000031	0.43	
86	700	802	58	OpenPlay	Pass	RightFoot	BlockedShot	0.03421165	0.891999969	0.726999969	
86	682	686	65	SetPiece	Cross	Head	MissedShots	0.120536506	0.915999985	0.504000015	
86	701	700	74	OpenPlay	Pass	RightFoot	SavedShot	0.102914013	0.968000031	0.332999992	
